epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.68986,1.50698,9.59053,0.66971,1.17529,1.33121,0.99174,0.96773,0.99367,0.73343,0,0,0,0,1.02522,9.42031,0.63941,0.58988,1.10968,0.0006,0.0006,0.0006
2,10.192,1.02317,8.89423,0.59759,0.65741,1.07608,0.93541,1,0.99042,0.7788,0,0,0,0,0.932,8.65689,0.50316,0.61249,1.0491,0.00119584,0.00119584,0.00119584
3,14.6429,0.97407,8.34697,0.52543,0.63756,1.05834,0.91835,0.87097,0.91781,0.6793,0.01886,0.00806,0.00038,8e-05,1.00469,8.30695,0.47103,0.91197,1.13968,0.00176714,0.00176714,0.00176714
4,19.0449,0.9672,7.81045,0.46573,0.62126,1.06743,0.97619,0.99207,0.99492,0.73729,0.16344,0.16129,0.0372,0.0043,0.9944,6.86072,0.2401,0.68239,1.19142,0.0018812,0.0018812,0.0018812
5,23.4222,0.87762,7.25095,0.42512,0.55609,1.01706,0.97331,1,0.99403,0.8111,0.14458,0.1371,0.02921,0.00456,0.70352,6.36984,0.13084,0.72348,0.96829,0.0018416,0.0018416,0.0018416
6,27.8306,0.83871,6.92027,0.42215,0.55455,1.01344,0.99944,1,0.995,0.83023,0.04031,0.04032,0.00246,0.00032,0.68653,6.31591,0.09425,0.57774,0.98226,0.001802,0.001802,0.001802
7,32.2523,0.74886,6.06426,0.38754,0.52254,0.974,0.99573,1,0.995,0.82805,0.1771,0.16129,0.06798,0.01237,0.69204,5.91802,0.05702,0.65115,0.9908,0.0017624,0.0017624,0.0017624
8,36.6724,0.7063,5.74519,0.40517,0.49177,0.96135,0.98316,0.99194,0.99484,0.87568,0.62815,0.64516,0.48937,0.13078,0.56939,4.40154,0.12597,0.47119,0.91704,0.0017228,0.0017228,0.0017228
9,41.4314,0.71446,5.16285,0.38855,0.4822,0.96287,0.9991,1,0.995,0.86128,0.55838,0.54032,0.32474,0.07054,0.64115,4.27244,0.06641,0.79468,0.93168,0.0016832,0.0016832,0.0016832
10,45.9132,0.69193,4.73935,0.39443,0.45893,0.96006,0.99948,1,0.995,0.89063,0.65288,0.65323,0.56255,0.16566,0.53394,3.84873,0.06584,0.38294,0.90733,0.0016436,0.0016436,0.0016436
11,50.3742,0.65397,4.41921,0.39722,0.4543,0.93993,0.99803,1,0.995,0.89635,0.7655,0.76613,0.67384,0.29344,0.50988,2.83667,0.0738,0.46868,0.88117,0.001604,0.001604,0.001604
12,54.8089,0.6601,4.08019,0.4039,0.4492,0.94572,0.99927,1,0.995,0.90465,0.84665,0.84677,0.80328,0.41952,0.48079,2.39433,0.08407,0.35214,0.87153,0.0015644,0.0015644,0.0015644
13,59.2537,0.6393,3.96956,0.39914,0.42972,0.94501,0.99943,1,0.995,0.88122,0.85434,0.85484,0.7635,0.41382,0.51841,2.41914,0.08244,0.35571,0.88015,0.0015248,0.0015248,0.0015248
14,63.6967,0.63454,3.46668,0.38776,0.42013,0.91829,0.99945,1,0.995,0.891,0.89466,0.89516,0.83446,0.44342,0.50195,1.8961,0.08157,0.35574,0.8748,0.0014852,0.0014852,0.0014852
15,68.1909,0.60039,3.37274,0.38272,0.40791,0.90982,0.99781,1,0.995,0.89742,0.86902,0.87097,0.80822,0.42535,0.48931,2.30274,0.08956,0.35472,0.87123,0.0014456,0.0014456,0.0014456
16,72.612,0.60951,3.27851,0.39396,0.43047,0.92426,0.9995,1,0.995,0.89819,0.95114,0.95161,0.93109,0.56726,0.4585,1.54721,0.08517,0.32931,0.85462,0.001406,0.001406,0.001406
17,77.0675,0.59445,3.07044,0.391,0.40761,0.9213,0.99935,1,0.995,0.91933,0.98323,0.98387,0.97073,0.59328,0.42274,1.47956,0.09332,0.32703,0.84497,0.0013664,0.0013664,0.0013664
