epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
27,246.267,0.54874,1.25503,0.28404,0.34644,0.90644,0.99437,0.99454,0.99231,0.87567,0.97798,0.97814,0.96839,0.84122,0.57555,0.71081,0.05903,0.31254,0.91436,0.0009704,0.0009704,0.0009704
28,255.305,0.55279,1.23786,0.268,0.33903,0.88785,0.99436,0.99454,0.99241,0.87682,0.98617,0.98634,0.98281,0.86161,0.55596,0.67094,0.0608,0.29093,0.91745,0.0009308,0.0009308,0.0009308
29,264.317,0.54572,1.35406,0.29179,0.3475,0.89583,0.99435,0.99454,0.99209,0.86137,0.98616,0.98634,0.97742,0.82747,0.56708,0.65773,0.0598,0.30106,0.92076,0.0008912,0.0008912,0.0008912
30,273.36,0.52198,1.18163,0.27143,0.33223,0.89594,0.99437,0.99454,0.99167,0.87481,0.99437,0.99454,0.99167,0.87487,0.55832,0.60273,0.05954,0.28948,0.92159,0.0008516,0.0008516,0.0008516
31,282.444,0.52329,1.22435,0.26928,0.33466,0.88862,0.99437,0.99454,0.99311,0.87535,0.99164,0.9918,0.9929,0.88275,0.56362,0.57826,0.05875,0.29785,0.9164,0.000812,0.000812,0.000812
32,291.534,0.51084,1.09692,0.26546,0.32213,0.8891,0.99436,0.99454,0.99281,0.86451,0.97796,0.97814,0.96682,0.85799,0.57762,0.68685,0.05937,0.29777,0.92501,0.0007724,0.0007724,0.0007724
33,300.592,0.49354,1.07993,0.26074,0.31685,0.88211,0.99436,0.99454,0.99189,0.86833,0.98616,0.98634,0.97963,0.87967,0.56275,0.60665,0.05871,0.28835,0.91712,0.0007328,0.0007328,0.0007328
34,309.728,0.51269,1.11567,0.25937,0.32048,0.88764,0.99455,0.9971,0.9922,0.85843,0.98618,0.98634,0.98325,0.86879,0.56541,0.55681,0.04954,0.28788,0.91583,0.0006932,0.0006932,0.0006932
35,318.823,0.48076,1.12659,0.25786,0.30622,0.88378,0.99437,0.99454,0.99223,0.88459,0.98891,0.98907,0.98715,0.86578,0.53419,0.61466,0.05159,0.28402,0.9135,0.0006536,0.0006536,0.0006536
36,327.904,0.48524,1.05212,0.25915,0.30431,0.88356,0.99436,0.99454,0.99188,0.88134,0.99436,0.99454,0.99188,0.88397,0.53887,0.53024,0.04909,0.29002,0.91423,0.000614,0.000614,0.000614
37,337.104,0.48536,1.01523,0.2485,0.30172,0.88623,0.99438,0.99454,0.99231,0.88827,0.98891,0.98907,0.98671,0.8953,0.54859,0.54128,0.05279,0.27587,0.91725,0.0005744,0.0005744,0.0005744
38,346.198,0.4724,0.97249,0.24371,0.29894,0.87966,0.99438,0.99454,0.99244,0.8894,0.99165,0.9918,0.99099,0.89426,0.53568,0.52673,0.04812,0.27139,0.91469,0.0005348,0.0005348,0.0005348
39,355.305,0.48526,1.01147,0.26764,0.2997,0.88834,0.99438,0.99454,0.99287,0.89202,0.99438,0.99454,0.99287,0.89957,0.52201,0.48615,0.04655,0.27324,0.91168,0.0004952,0.0004952,0.0004952
40,364.405,0.45279,0.96028,0.23777,0.295,0.87008,0.99438,0.99454,0.99211,0.87215,0.99438,0.99454,0.99211,0.87686,0.53697,0.50383,0.0502,0.27791,0.91214,0.0004556,0.0004556,0.0004556
41,373.993,0.38401,0.36062,0.06592,0.24298,0.84792,0.99438,0.99454,0.99255,0.88915,0.99438,0.99454,0.99255,0.90778,0.52142,0.46587,0.03387,0.268,0.91257,0.000416,0.000416,0.000416
42,383.075,0.38397,0.35291,0.05832,0.24133,0.85758,0.99438,0.99454,0.99251,0.89037,0.99438,0.99454,0.99251,0.90694,0.51458,0.46878,0.02416,0.26393,0.90839,0.0003764,0.0003764,0.0003764
43,392.178,0.36979,0.33274,0.05711,0.23282,0.84748,0.99438,0.99454,0.99267,0.88978,0.99165,0.9918,0.99178,0.89562,0.51736,0.47483,0.02137,0.25651,0.90956,0.0003368,0.0003368,0.0003368
44,401.252,0.3627,0.29639,0.04551,0.22755,0.84684,0.99438,0.99454,0.99222,0.8888,0.99438,0.99454,0.99222,0.90771,0.50759,0.44606,0.02036,0.26433,0.90789,0.0002972,0.0002972,0.0002972
45,410.285,0.35735,0.30889,0.04446,0.22427,0.84564,0.99438,0.99454,0.99243,0.89957,0.99438,0.99454,0.99243,0.91422,0.50502,0.44575,0.0179,0.25565,0.90992,0.0002576,0.0002576,0.0002576
46,419.346,0.35416,0.27981,0.04523,0.2202,0.84185,0.99438,0.99454,0.9924,0.89926,0.99438,0.99454,0.9924,0.91377,0.5033,0.44157,0.01801,0.25415,0.9089,0.000218,0.000218,0.000218
47,428.427,0.344,0.26408,0.04326,0.21643,0.84572,0.99438,0.99454,0.99242,0.9016,0.99438,0.99454,0.99242,0.92074,0.49945,0.42403,0.01662,0.25579,0.90443,0.0001784,0.0001784,0.0001784
48,437.525,0.33655,0.2533,0.04442,0.21161,0.85289,0.99438,0.99454,0.99242,0.90078,0.99438,0.99454,0.99242,0.91819,0.49314,0.42128,0.01588,0.25064,0.90565,0.0001388,0.0001388,0.0001388
49,446.598,0.32258,0.26067,0.0464,0.20299,0.83782,0.99438,0.99454,0.99231,0.89886,0.99438,0.99454,0.99231,0.91655,0.49066,0.41794,0.01609,0.2501,0.9056,9.92e-05,9.92e-05,9.92e-05
50,455.666,0.3292,0.2412,0.04617,0.20145,0.83413,0.99438,0.99454,0.99227,0.90031,0.99438,0.99454,0.99227,0.9181,0.48278,0.4138,0.0164,0.24603,0.90624,5.96e-05,5.96e-05,5.96e-05
