epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
28,459.648,0.54071,1.07962,0.23561,0.34478,0.88479,0.99989,1,0.995,0.92637,0.99047,0.99058,0.9944,0.96029,0.43532,0.37262,0.04312,0.26944,0.83285,0.0009308,0.0009308,0.0009308
29,476.003,0.51124,0.9185,0.22013,0.33507,0.87211,0.99989,1,0.995,0.92392,0.98482,0.98493,0.98902,0.95399,0.43406,0.4372,0.0389,0.27078,0.83973,0.0008912,0.0008912,0.0008912
30,492.319,0.49688,0.89419,0.22426,0.32618,0.86862,0.99989,1,0.995,0.92162,0.98107,0.98117,0.98812,0.94658,0.43264,0.49044,0.04183,0.27659,0.83426,0.0008516,0.0008516,0.0008516
31,508.784,0.49289,0.91048,0.22285,0.32914,0.86611,0.9998,1,0.995,0.91331,0.99227,0.99247,0.99299,0.95089,0.42018,0.36006,0.04503,0.56939,0.82936,0.000812,0.000812,0.000812
32,525.192,0.49174,0.86949,0.21939,0.32453,0.86627,0.9997,1,0.995,0.91845,0.98028,0.97363,0.98121,0.94328,0.43006,0.54371,0.04449,0.27352,0.83542,0.0007724,0.0007724,0.0007724
33,541.684,0.47703,0.83783,0.21916,0.31601,0.86379,0.99988,1,0.995,0.93674,0.99047,0.99058,0.99444,0.96735,0.38737,0.33018,0.03723,0.25204,0.82005,0.0007328,0.0007328,0.0007328
34,558.06,0.47039,0.77537,0.21725,0.31109,0.86054,0.99989,1,0.995,0.93999,0.98294,0.98305,0.98869,0.95041,0.38348,0.43563,0.03494,0.24751,0.82015,0.0006932,0.0006932,0.0006932
35,574.422,0.45957,0.78685,0.21622,0.30459,0.85988,0.99983,1,0.995,0.92175,0.98288,0.98305,0.98459,0.9213,0.40958,0.48407,0.03936,0.26699,0.82364,0.0006536,0.0006536,0.0006536
36,590.933,0.46482,0.77587,0.21876,0.31585,0.86758,0.99984,1,0.995,0.91813,0.98289,0.98305,0.98474,0.94535,0.4078,0.4304,0.03719,0.26003,0.82558,0.000614,0.000614,0.000614
37,607.319,0.4565,0.76541,0.21326,0.30317,0.86064,0.99989,1,0.995,0.94267,0.99424,0.99435,0.99481,0.97382,0.37431,0.30656,0.03852,0.24368,0.82,0.0005744,0.0005744,0.0005744
