elapsed_time,roll,roll_speed,pitch,pitch_speed,z,z_speed,yaw,yaw_speed,control_x,control_y,control_z,control_yaw
0.00,6.868833195445792e-10,-1.704074347508088e-09,2.2839250064848844e-07,-1.709250466689557e-09,0.8264644357066887,-9.113963762690417e-07,8.112972295483993e-07,2.1400640712867383e-05,0.0,0.0,0.0,0.0
0.02,6.06571690956036e-10,-4.960318893870826e-09,2.283121841670345e-07,-4.9653862736133496e-09,0.8264644156559678,-9.113963644732183e-07,8.133372410802718e-07,2.1172899068744207e-05,10,0,0,0
0.04,3.2643916751507033e-10,-7.174741601208702e-08,0.0004154843766290358,0.09227917875259317,0.8264655282993645,0.00025077963105645353,7.935521784799103e-07,2.0516135757279297e-05,10,0,0,0
0.06,1.4562796656556632e-09,-3.4696723678102374e-08,0.005363955802202154,0.34604695880176517,0.826478993002871,0.0009412348382170204,7.730731612463777e-07,2.0787871736297157e-05,10,0,0,0
0.08,-3.231100900948056e-06,-0.00029275641161925536,0.015251071325005305,0.5409068078610381,0.8265081702657462,0.001677318980058292,7.72081534345612e-07,2.4781220957054596e-05,10,0,0,0
0.10,-1.4782530345011017e-05,-0.0007491371612156037,0.028833363046649595,0.6745554742264416,0.826553781191628,0.002444330337188034,6.547457185286521e-07,3.199610587342788e-05,10,0,0,0
0.12,-2.445882350442219e-05,-0.0009838513374189682,0.03650434222588411,0.7124467176998134,0.826583099253979,0.0028524876297709974,4.661086933747886e-07,-4.457577747918925e-06,10,0,0,0
0.14,-5.064667417372357e-05,-0.0013505368995349347,0.05258120542331721,0.7367016683336054,0.8266557790076785,0.0037452141475476097,-1.820240196174802e-07,9.788954052294437e-06,10,0,0,0
0.16,-8.365863466013708e-05,-0.0016158977958763902,0.06873375485077876,0.7270464525516289,0.8267490295670815,0.0047103984282406775,-1.3112464307287991e-06,2.61423466518599e-05,10,0,0,0
0.18,-0.00012040469517265659,-0.0017025080009584457,0.08416184048944142,0.6760682187167433,0.8268665682263551,0.005898304523105836,-2.98789393023708e-06,3.470403647568906e-05,10,0,0,0
0.20,-0.00015808899592288932,-0.0016926574163913446,0.09829183874866855,0.6096767824819098,0.8270074748420256,0.006788491024598548,-5.0912516926893505e-06,4.277805522083159e-05,10,0,0,0
0.22,-0.00017660361134104173,-0.001649454363700152,0.10478029816526849,0.5731186594312085,0.8270838770940786,0.007061128008592758,-6.225150373042624e-06,8.745137534588508e-05,10,0,0,0
0.24,-0.00021188430010207095,-0.0015203786772267876,0.11652861317484059,0.49828251376814997,0.8272437513305317,0.0074185845191004456,-8.648606958425827e-06,8.771998206320378e-05,10,0,0,0
0.26,-0.00024370133543447938,-0.001336279442837434,0.1266477027632853,0.4256614765215486,0.8274091884648845,0.007581494428489211,-1.1089802413081853e-05,8.20634029606487e-05,10,0,0,0
0.28,-0.0002710830357236156,-0.001117481569874227,0.13521057275327866,0.35731383311788906,0.8275760949036713,0.007606145853996404,-1.3453219313981079e-05,6.912617724118117e-05,10,0,0,0
0.30,-0.0002932385818510393,-0.0008681193729535416,0.14233495786214048,0.29440968845891524,0.8277425810739315,0.007512024338517046,-1.5644016428836588e-05,5.266522823585405e-05,10,0,0,0
0.32,-0.0003095591465934,-0.0005945471730831419,0.14816508041393203,0.23961326906120384,0.827905458959503,0.007284804698775361,-1.7561054307094276e-05,3.002512485244768e-05,10,0,0,0
0.34,-0.00031540556308650076,-0.0004606341086787178,0.15065331448237246,0.21547730750883964,0.8279846975250066,0.007130845145921065,-1.8433355086230745e-05,-2.5035733437870726e-05,10,0,0,0
0.36,-0.0003224493383530533,-0.00018497729492373847,0.15488988760742442,0.17229511663711064,0.8281374229193359,0.006748367946625206,-1.9916089791557765e-05,-5.4068856564736835e-05,10,0,0,0
0.38,-0.00032351961012974564,6.837926842168081e-05,0.1582387555615796,0.1358837809462804,0.8282806680516975,0.006297482551211937,-2.1117877186772242e-05,-7.973911962638732e-05,10,0,0,0
0.40,-0.0003194781722153007,0.0002813252618023124,0.16089814815773984,0.1074398694341445,0.8284144769389484,0.005874549486564312,-2.2070951293127534e-05,-0.0001059529271065339,10,0,0,0
0.42,-0.00031104356192584895,0.000456579688521135,0.16297645268399996,0.08343233161675145,0.8285384967568434,0.0054192403659482895,-2.281775672449776e-05,-0.00012614952506960665,10,0,0,0
0.44,-0.00030549861171041433,0.0005320927968088252,0.16383243551566415,0.07337654798449213,0.8285967326626108,0.0051900330186026135,-2.3096747152340235e-05,-9.19244697970105e-05,10,0,0,0
0.46,-0.00029247771445902013,0.0006324132676334181,0.16524654288925877,0.05671250802829301,0.8287056724665035,0.00473592085921028,-2.35886948802463e-05,-0.00010331745167239834,10,0,0,0
0.48,-0.00027770544455052714,0.0006957978967350692,0.16633715071624092,0.04328623028475963,0.8288047191772525,0.004285087018966368,-2.395062891540184e-05,-0.00010819952723376184,10,0,0,0
0.50,-0.0002619050187427034,0.00072540545551714,0.16716417158114627,0.0326056248753665,0.8288940581435882,0.0038593574652364755,-2.4165204508316223e-05,-0.00010761577053004264,10,0,0,0
0.52,-0.00024573903442047117,0.0007279372562110268,0.16778019568742383,0.024127869501653857,0.8289743026646089,0.0034581600095459253,-2.4293713922332536e-05,-0.0001060517927989958,10,0,0,0
0.54,-0.0002298084982131966,0.0007053781691426988,0.16823485882760691,0.017827049899378004,0.829046051332533,0.0030867658996831266,-2.4375152229815365e-05,-0.00010106585593357652,10,0,0,0
0.56,-0.00022209330361291262,0.0006798884445257325,0.16841554372087117,0.015337677856639281,0.8290789528585977,0.002912969946103671,-2.4427787898240745e-05,-0.00013932810027647758,10,0,0,0
0.58,-0.0002073644171818289,0.0006345616693509534,0.16870425421981494,0.011201538129073983,0.8291392306994274,0.0025832114649913277,-2.44725164945439e-05,-0.00013215078453035245,10,0,0,0
0.60,-0.00019374200789205626,0.0005811061703275604,0.16891282741790173,0.008015502098472037,0.8291925596555609,0.0022817325010414478,-2.454949163077956e-05,-0.0001248837405154436,10,0,0,0
0.62,-0.00018135733548014794,0.0005239100557195988,0.16906057660752094,0.005711446791565064,0.8292396131371346,0.0020164958575144727,-2.461445925010159e-05,-0.00011236966795640549,10,0,0,0
0.64,-0.00017027229247880405,0.00046514068868783355,0.16916520580757352,0.003975263598394058,0.8292811450253124,0.001774899710415654,-2.4630465446301756e-05,-0.00010159251980179559,10,0,0,0
0.66,-0.00016521584233949153,0.00044327062222540293,0.16920470671905136,0.0032930029360053494,0.8292999990007417,0.0016645854942707672,-2.4610462137525862e-05,-5.4426842316959045e-05,10,0,0,0
0.68,-0.00015606440255378715,0.000387228590568303,0.1692642343350684,0.0022322994824679316,0.8293342607895112,0.001463927298063969,-2.4615351426020338e-05,-4.492157759767902e-05,10,0,0,0
0.70,-0.0001481350551655667,0.0003339024678071744,0.16930338023435076,0.0014190691982771796,0.8293643228320482,0.001282267624915881,-2.4646730585066603e-05,-3.808497110795997e-05,10,0,0,0
0.72,-0.00014132280632195044,0.00028617698989729284,0.16932803912070138,0.0008571003509401776,0.829390702921157,0.001123964605837806,-2.4681670858187364e-05,-2.779468865288357e-05,10,0,0,0
0.74,-0.00013553917026673483,0.00024216865229182146,0.1693417911945067,0.0004347080934987786,0.8294137616107817,0.0009816459650366825,-2.4697466812733496e-05,-2.023553180647122e-05,10,0,0,0
0.76,-0.00013067481619899888,0.00020367826062582986,0.16934788074890703,0.00015294832057200427,0.8294339009468907,0.0008578799960626386,-2.4710206651302257e-05,-1.3762957701511392e-05,10,0,0,0
0.78,-0.00012855213590905936,0.00017936577473858285,0.16934893634872314,5.328218154145451e-05,0.8294429992160783,0.0008023025325934592,-2.4740115114868752e-05,-5.2660717274601395e-05,10,0,0,0
