elapsed_time,roll,roll_speed,pitch,pitch_speed,z,z_speed,yaw,yaw_speed,control_x,control_y,control_z,control_yaw
0.00,-8.732511625065413e-10,1.0576301496056883e-08,2.2683232819358403e-07,1.0581305116053273e-08,0.9912166985357933,-9.113965128860495e-07,6.663711829625211e-06,-2.029701684000389e-05,0.0,0.0,0.0,0.0
0.02,-4.863188647421756e-10,1.602908432947882e-08,2.2721925771278749e-07,1.603404965385285e-08,0.99121667848507,-9.113964908119256e-07,6.695255341929604e-06,-2.0024121769886397e-05,0,0,0,10
0.04,-2.6080670661168605e-10,2.2122229862375296e-08,2.2743788840959164e-07,1.8681539826938517e-08,0.9912166684597092,-9.11396449279767e-07,3.6841324658852416e-05,0.015076157810570498,0,0,0,10
0.06,-1.007113329360411e-08,-3.4433656132573744e-06,2.1727894960755137e-07,-3.4768323797508982e-06,0.9912166478040564,-1.1130399076623757e-06,0.0016364096435230345,0.1250892843793585,0,0,0,10
0.08,-7.233243318707474e-07,-7.92364492091357e-05,-4.947230277522726e-07,-7.988053556796087e-05,0.9912164505585128,-2.5894346568631984e-05,0.005588217487277431,0.22718458922570597,0,0,0,10
0.10,-4.377506937981195e-06,-0.0002539473031042231,-4.132664245289103e-06,-0.0002584065147606169,0.9912149280270927,-0.00011917818089049876,0.011635142391374875,0.3165139961018296,0,0,0,10
0.12,-1.238885738628254e-05,-0.00045669332952053297,-1.2076964735955386e-05,-0.00046963359812993367,0.9912109184985977,-0.0002454481948916716,0.01954948873765437,0.396895414456321,0,0,0,10
0.14,-1.8160759954927027e-05,-0.0005598776126279296,-1.7778435265439778e-05,-0.0005794289764502777,0.9912078044309525,-0.00031454483240660517,0.024140795092755036,0.4341508051311603,0,0,0,10
0.16,-3.312887114746338e-05,-0.0007450614025106058,-3.2491209114716074e-05,-0.0007815502545524641,0.9911993091272863,-0.0004496345404204577,0.03448439769313912,0.501496561855496,0,0,0,10
0.18,-5.1928602862309236e-05,-0.0008784801529359196,-5.080905752495199e-05,-0.0009334172047771268,0.9911879963541468,-0.0005703018123856536,0.04620892861345589,0.5601852139047945,0,0,0,10
0.20,-7.332083168502476e-05,-0.000951444634470278,-7.138451504505381e-05,-0.0010215339190703646,0.9911742184399182,-0.000674789813651199,0.05913512497916001,0.6113342770841976,0,0,0,10
0.22,-9.625133192260497e-05,-0.0009903714389410331,-9.306011789035393e-05,-0.0010732923135987444,0.9911582534303944,-0.0007706322626195012,0.07313598028488333,0.6585567562966181,0,0,0,10
0.24,-0.00011964275519285694,-0.0009704822280757137,-0.00011468490020485344,-0.001055950208766513,0.9911403725044494,-0.0008508150802597799,0.0880868907818096,0.6985476550215243,0,0,0,10
0.26,-0.00013121330961833274,-0.0009501236154529939,-0.00012515779953446157,-0.0010336860317893331,0.9911307890076931,-0.000887812473592439,0.09588364052980139,0.7171328244119425,0,0,0,10
0.28,-0.00015364862452302018,-0.000891193723754177,-0.00014493509804614478,-0.0009638076911204165,0.9911113610550442,-0.0008228440701410273,0.11205463267428295,0.750641030819035,0,0,0,10
0.30,-0.0001747100188131617,-0.0008173581029028258,-0.00016270596773260265,-0.0008710670277237045,0.9910969917146308,-0.00044970109268537283,0.12891181661720363,0.7798223784986443,0,0,0,10
0.32,-0.00019411046133276883,-0.0007398189303055106,-0.0001781979681187775,-0.0007694165970996323,0.9910930898962459,0.00011491899612800293,0.14637741696783244,0.806031581138645,0,0,0,10
0.34,-0.00021173528999801736,-0.000662594028894328,-0.00019137246924068126,-0.0006672235873634835,0.991103639506107,0.0008363035948147303,0.16438449560025978,0.8294564741365528,0,0,0,10
0.36,-0.00021989670776313518,-0.0006270848354346833,-0.00019714508791542483,-0.0006209905215569867,0.9911154425685443,0.0012702573662707192,0.1735684901840424,0.8394518601486398,0,0,0,10
