elapsed_time,roll,roll_speed,pitch,pitch_speed,z,z_speed,yaw,yaw_speed,control_x,control_y,control_z,control_yaw
0.00,5.022842480570665e-10,-9.447335467579954e-09,2.2820785095209276e-07,-9.442468727356211e-09,0.9736580831756274,-9.113965320121433e-07,-1.3940950777727746e-06,-2.01593105158461e-05,0,0,10,0
0.02,4.632267960743808e-10,1.3631925696674436e-09,2.2816878649640242e-07,1.3579922823073583e-09,0.9736580731502663,-9.113964095689778e-07,-1.3549282916886128e-06,2.3327223112050796e-05,0,0,10,0
0.04,4.965847077907672e-10,-6.988919950764092e-10,1.690218522198823e-07,-5.918724662660266e-06,0.9745901448024653,0.09320825889554842,-1.3130255536054393e-06,2.342886636231442e-05,0,0,10,0
0.06,1.1087534044602724e-10,-1.663773851850122e-07,-4.000184463782615e-08,-1.251250599178065e-05,0.9778817402385919,0.2010001976693519,-1.274489462229221e-06,2.32270120842019e-05,0,0,10,0
0.08,-6.172376547771157e-08,-7.984707346308717e-06,-3.362640302968191e-07,-1.663664043809451e-05,0.983483605666836,0.3014510461691256,-1.2407999358157634e-06,2.2823521021306473e-05,0,0,10,0
0.10,-4.958289619124911e-07,-2.8997503316759222e-05,-9.019413317979911e-07,-3.279208808621343e-05,0.9911428009069452,0.38858687223836835,-1.2114586233350349e-06,2.243874664626065e-05,0,0,10,0
0.12,-1.1854279682328535e-06,-3.305961823103177e-05,-1.6343652263075577e-06,-3.358140994427953e-05,1.0005794015630947,0.46389554548081813,-1.1859852239064358e-06,2.2079687549569853e-05,0,0,10,0
0.14,-1.576167865852658e-06,-3.76067694241577e-05,-2.0238212932045314e-06,-3.701304551353412e-05,1.0058873293304034,0.4976652220027546,-1.197124419134786e-06,-1.983144568320071e-05,0,0,10,0
0.16,-2.509076413056427e-06,-4.6769991768425596e-05,-2.921158912493397e-06,-4.433709602006865e-05,1.017588051402012,0.5620701661757318,-1.1536349437025563e-06,-1.9740803237293984e-05,0,0,10,0
0.18,-3.617856574371447e-06,-5.301179308679965e-05,-3.964454828646061e-06,-4.965773166821248e-05,1.0306090523870544,0.6178730426462345,-1.1130175641073144e-06,-1.9733786339397766e-05,0,0,10,0
0.20,-4.795845471248153e-06,-5.0997222687342795e-05,-5.06486821409553e-06,-4.739995459986794e-05,1.0447688555285721,0.6659602643591218,-1.0766149815699285e-06,-1.9724853463849573e-05,0,0,10,0
0.22,-5.702151596320348e-06,-3.133568959076181e-05,-5.893171446430551e-06,-2.7882159705532983e-05,1.0599093686432601,0.7074572697189365,-1.0441132196861306e-06,-1.9694844112140756e-05,0,0,10,0
0.24,-5.983385244993676e-06,-2.0879194978776303e-05,-6.137247947571798e-06,-1.757082898176098e-05,1.0678044743466255,0.7260378388647362,-1.0059434609183238e-06,2.227743468924906e-05,0,0,10,0
0.26,-6.224677571005574e-06,-2.1498445502671137e-06,-6.309709344985892e-06,8.109442587552748e-07,1.0841740822824475,0.7602777009077464,-9.703221752926113e-07,2.381395137813868e-05,0,0,10,0
0.28,-6.753833029222834e-06,-4.2869355995946534e-05,-6.772816050198792e-06,-4.031342065671783e-05,1.102847394852977,0.7935762530613714,-9.178986848748864e-07,2.342222883203118e-05,0,0,10,0
0.30,-8.106659326869446e-06,-7.536362640589226e-05,-8.073830429387619e-06,-7.318966996158646e-05,1.120613138582732,0.8195470630282661,-8.761405977584538e-07,2.2970599456809274e-05,0,0,10,0
0.32,-9.966666311889892e-06,-9.002332731021587e-05,-9.890228407664571e-06,-8.820941641390136e-05,1.1389060754765823,0.8418387790258736,-8.396804480808151e-07,2.2549463733073765e-05,0,0,10,0
0.34,-1.0980420454531324e-05,-9.393970496999057e-05,-1.0885072959496644e-05,-9.229945506531034e-05,1.1482291032926355,0.8523056534868942,-8.534674177544308e-07,-2.109080306369156e-05,0,0,10,0
0.36,-1.341785453041807e-05,-0.000127864730779632,-1.3290163405849415e-05,-0.0001265443694567242,1.1672065613390523,0.8716337682208104,-8.474259553910548e-07,-2.147908089998471e-05,0,0,10,0
0.38,-1.653936372164856e-05,-0.00015162940117069572,-1.638581866295564e-05,-0.00015058036047150934,1.1865778149180866,0.8882636085890194,-8.432316480653065e-07,-2.1305499777026354e-05,0,0,10,0
0.40,-1.994276573503044e-05,-0.00015431216434441287,-1.9768785435221773e-05,-0.00015348639812042688,1.2062887336253705,0.902623234621141,-8.391862896384574e-07,-2.1111614015200096e-05,0,0,10,0
0.42,-2.3215608720330923e-05,-0.00014182663053262807,-2.3025608086613138e-05,-0.00014118216099075936,1.2262929141957526,0.915048294656487,-8.35207136528667e-07,-2.0918429836346335e-05,0,0,10,0
0.44,-2.4724641635436513e-05,-0.00013331686218054562,-2.452803478358877e-05,-0.00013275241188499777,1.2363932969531612,0.9208568806860041,-8.040480186540867e-07,2.2619231196345364e-05,0,0,10,0
0.46,-2.7771407071221643e-05,-0.00011051656382055423,-2.7562917501451396e-05,-0.00011011647881052068,1.2595753559789145,0.9328884765049636,-7.929266628355232e-07,-1.96845276866747e-05,0,0,10,0
0.48,-2.9946734244685964e-05,-8.815776609270828e-05,-2.9730725389608134e-05,-8.786563246148036e-05,1.2802051464043809,0.9418802011245753,-7.659643108129799e-07,-1.9179175374870483e-05,0,0,10,0
0.50,-3.163395198432464e-05,-6.65365331713225e-05,-3.1412435321824856e-05,-6.632255694594475e-05,1.3010164188747795,0.9495010871200462,-7.209251499618467e-07,-1.911731374905597e-05,0,0,10,0
0.52,-3.2303648757997924e-05,-5.6169109073030403e-05,-3.20799664244082e-05,-5.5986294149393796e-05,1.3114822620794329,0.9530562948410249,-6.706083564809758e-07,2.4313683648833944e-05,0,0,10,0
0.54,-3.3317383788800524e-05,-3.764930910545325e-05,-3.309039336499783e-05,-3.7521715724380284e-05,1.3325255779362746,0.9594248460704554,-6.181006410190457e-07,2.2338667556596544e-05,0,0,10,0
0.56,-3.396901985599471e-05,-2.2409314216006406e-05,-3.373971002996018e-05,-2.232085912579071e-05,1.3536955116389222,0.9648360901107118,-5.739361701428606e-07,2.398148319069001e-05,0,0,10,0
0.58,-3.430825910706678e-05,-9.47626212141752e-06,-3.4077412195651424e-05,-9.419151664677239e-06,1.3749786476562484,0.9696596662272768,-5.231126529200917e-07,2.3575945912037307e-05,0,0,10,0
0.60,-3.43951915340435e-05,6.235149130444677e-07,-3.4163398305872264e-05,6.577745200873693e-07,1.396360126569984,0.9738090080554955,-4.781946242526314e-07,2.3105871597603627e-05,0,0,10,0
0.62,-3.428982757484195e-05,8.190617739418803e-06,-3.4057509442075706e-05,8.208721807407693e-06,1.4178259736289245,0.9773720486977224,-4.3896549665572075e-07,2.26688816585227e-05,0,0,10,0
0.64,-3.418136628208145e-05,1.1171716174371541e-05,-3.394890426856547e-05,1.118081769913516e-05,1.4285867208027483,0.978960821879855,-4.438416025363061e-07,-1.927745470685034e-05,0,0,10,0
0.66,-3.38737818256666e-05,1.617181787272864e-05,-3.364121210944933e-05,1.6170892734424182e-05,1.4501586958183477,0.9818949406467617,-3.7738609514138657e-07,-1.7149339919790542e-05,0,0,10,0
